date,open,close,high,low
1492875000,0.00258999,0.00259474,0.00259506,0.00258998
1492875300,0.00259474,0.00259552,0.00259552,0.00259474
1492875600,0.00259553,0.00258587,0.00259582,0.00258587
1492875900,0.00258588,0.00259255,0.00259582,0.00258588
1492876200,0.0025958,0.0025925,0.0026,0.00259006
1492876500,0.00259251,0.00259318,0.00259605,0.00259251
1492876800,0.00259459,0.00259604,0.00259605,0.002593
1492877100,0.00259604,0.00259332,0.00259605,0.00259302
1492877400,0.00259317,0.00259333,0.00259333,0.00259302
1492877700,0.00259302,0.0025925,0.00259302,0.0025925
1492878000,0.00259248,0.00259267,0.00259267,0.00259
1492878300,0.00259,0.00259324,0.00259324,0.00259
1492878600,0.00259275,0.0025783,0.00259275,0.00257801
1492878900,0.00257831,0.00257612,0.00258005,0.00257234
1492879200,0.00258005,0.00259104,0.00259104,0.00257051
1492879500,0.00259104,0.00258672,0.00259104,0.00257406
1492879800,0.00258657,0.00256231,0.00258657,0.00256222
1492880100,0.00257107,0.00256529,0.00257345,0.00256494
1492880400,0.0025653,0.00257406,0.00257406,0.00256529
1492880700,0.00257231,0.0025671,0.00257406,0.00256529
1492881000,0.00256533,0.00256224,0.00257284,0.00256224
1492881300,0.00257155,0.0025621,0.00257155,0.00256116
1492881600,0.00257099,0.00257095,0.00257104,0.0025621
1492881900,0.00257094,0.00257296,0.00257296,0.00256231
1492882200,0.00256765,0.00257245,0.00257392,0.00256765
1492882500,0.00256765,0.00257227,0.00257288,0.00256256
1492882800,0.0025722,0.00256213,0.0025722,0.00256213
1492883100,0.00257043,0.00257137,0.00257211,0.00256187
1492883400,0.00256211,0.00256977,0.00257155,0.00256059
1492883700,0.00256211,0.00256977,0.00256978,0.0025621
1492884000,0.00256978,0.002574,0.002574,0.0025621
1492884300,0.00256233,0.00257372,0.002574,0.00256211
1492884600,0.002573,0.00256121,0.00257406,0.00256058
1492884900,0.00256124,0.00257405,0.00257407,0.00256122
1492885200,0.00256712,0.00256236,0.00257399,0.00256236
1492885500,0.00256267,0.00257361,0.00257399,0.00256236
1492885800,0.00256284,0.00256681,0.00257377,0.00254997
1492886100,0.00256674,0.00255651,0.00256698,0.00255405
1492886400,0.0025661,0.00257052,0.00257052,0.00255324
1492886700,0.00257048,0.00256666,0.00257369,0.00256666
1492887000,0.00257027,0.0025698,0.00257371,0.00256016
1492887300,0.00256017,0.00256072,0.00257321,0.00255435
1492887600,0.00256071,0.00256016,0.0025702,0.00255324
1492887900,0.00255659,0.00256015,0.00256652,0.00255324
1492888200,0.00255325,0.00254975,0.00256016,0.00254975
1492888500,0.00255932,0.00254007,0.00255934,0.00253304
1492888800,0.00254023,0.00255009,0.00255103,0.00253285
1492889100,0.00255009,0.00254519,0.00255194,0.00253341
1492889400,0.00254517,0.00255149,0.00255159,0.00253264
1492889700,0.0025515,0.00253945,0.00255324,0.00253945
1492890000,0.00253946,0.00255324,0.00255324,0.0025364
1492890300,0.00254635,0.00253961,0.00255324,0.00253945
1492890600,0.00254088,0.00254004,0.00255323,0.002538
1492890900,0.00255323,0.00254002,0.00255353,0.00254
1492891200,0.002546,0.00254015,0.00255323,0.00254
1492891500,0.00255315,0.00255302,0.00255323,0.0025402
1492891800,0.00255324,0.00255324,0.00255324,0.00254074
1492892100,0.00254302,0.00254012,0.00255324,0.00254012
1492892400,0.00254012,0.00255323,0.00255324,0.00254
1492892700,0.0025403,0.00254004,0.00255321,0.00254004
1492893000,0.0025402,0.00254538,0.00255324,0.00254
1492893300,0.00254011,0.00254,0.00255324,0.00254
1492893600,0.00254002,0.00255324,0.00255324,0.00254
